variable;unit;piam_variable;piam_unit;piam_factor;Definition;Comment;internal_comment;exclude_remind2_validation
Annual Refurbishment Rate|Residential;% of housing stock;;;;;not modelled;;
Economy|Number of households;million households;;;;;not modelled;;
Economy|Population;million people;Population;million;1;;;;
Economy|Private Consumption;EUR_2020/cap;;;;;;unsure if we have this;
Emissions|CO2|Energy|Demand|Residential;Mt CO2/yr;;;;;not modelled but post-processed;;
Emissions|CO2|Energy|Demand|Residential and Commercial;Mt CO2/yr;Emi|CO2|Energy|Demand|Buildings;Mt CO2/yr;1;;;;
Emissions|CO2|Energy|Demand|Residential and Commercial|Gases;Mt CO2/yr;Emi|CO2|Energy|Demand|Buildings|Gases;Mt CO2/yr;1;;;;
Emissions|CO2|Energy|Demand|Residential and Commercial|Hydrogen;Mt CO2/yr;Emi|CO2|Energy|Demand|Buildings|Hydrogen;Mt CO2/yr;1;;;;
Emissions|CO2|Energy|Demand|Residential and Commercial|Liquids;Mt CO2/yr;Emi|CO2|Energy|Demand|Buildings|Liquids;Mt CO2/yr;1;;;;
Emissions|CO2|Energy|Demand|Residential and Commercial|Other;Mt CO2/yr;;;;;not modelled;;
Emissions|CO2|Energy|Demand|Residential and Commercial|Solids;Mt CO2/yr;Emi|CO2|Energy|Demand|Buildings|Solids;Mt CO2/yr;1;;;;
Energy Service|Residential and Commercial|Floor Space;bn m2/yr;ES|Buildings|Floor Space;bn m2;1;;;;
Energy Service|Residential|Floor Space;bn m2/yr;ES|Buildings|Residential|Floor Space;bn m2;1;;;;
Final Energy|Residential;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential and Commercial;EJ/yr;FE|Buildings;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Electricity;EJ/yr;FE|Buildings|Electricity;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Gases;EJ/yr;FE|Buildings|Gases;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Heat;EJ/yr;FE|Buildings|Heat;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Hydrogen;EJ/yr;FE|Buildings|Hydrogen;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Liquids;EJ/yr;FE|Buildings|Liquids;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Other;EJ/yr;;;;;not modelled;;
Final Energy|Residential and Commercial|Solids;EJ/yr;FE|Buildings|Solids;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Solids|Biomass;EJ/yr;FE|Buildings|Solids|Biomass;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Solids|Fossil;EJ/yr;FE|Buildings|Solids|Fossil;EJ/yr;1;;;;
Final Energy|Residential and Commercial|non-Heating|Electricity;EJ/yr;FE|Buildings|non-Heating|Electricity|Conventional;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating;EJ /yr;FE|Buildings|Heating;EJ /yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Electricity;EJ/yr;FE|Buildings|Heating|Electricity|Heat pump;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Electricity;EJ/yr;FE|Buildings|Heating|Electricity|Resistance;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Gases;EJ/yr;FE|Buildings|Heating|Gases;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Heat;EJ/yr;FE|Buildings|Heating|District Heating;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Hydrogen;EJ/yr;FE|Buildings|Heating|Hydrogen;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Liquids;EJ/yr;FE|Buildings|Heating|Liquids;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Other;EJ/yr;;;;;not modelled;;
Final Energy|Residential and Commercial|Space and Water Heating|Solids;EJ/yr;FE|Buildings|Heating|Solids;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Solids|Biomass;EJ/yr;FE|Buildings|Solids|Biomass;EJ/yr;1;;;;
Final Energy|Residential and Commercial|Space and Water Heating|Solids|Fossil;EJ/yr;FE|Buildings|Solids|Fossil;EJ/yr;1;;;;
Final Energy|Residential|Black Appliances;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Cooking;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Cooking|Electricity;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Cooking|Gases;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Cooking|Heat;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Cooking|Hydrogen;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Cooking|Liquids;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Cooking|Other;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Cooking|Solids;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Electricity;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Gases;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Heat;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Hydrogen;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Lighting;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Liquids;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Other;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Solids;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential and Commercial|Solids|Biomass;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential and Commercial|Solids|Fossil;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Electricity;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Gases;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Heat;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Hydrogen;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Liquids;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Other;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Space and Water Heating|Solids;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Solids|Biomass;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Solids|Fossil;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space Cooling;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Electricity;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Gases;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Heat;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Hydrogen;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Liquids;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Other;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Solids;EJ/yr;;;;;not modelled;;
Final Energy|Residential|White Appliances;EJ/yr;;;;;not modelled;;
Price|Carbon|EU-wide Regulation Non-ETS;EUR_2020/t CO2;Price|Carbon|ESR;US$2005/t CO2;1.17;;;;
Price|Final Energy|Residential and Commercial|Electricity;EUR_2020/GJ;Price|Final Energy|Buildings|Electricity|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential and Commercial|Gases;EUR_2020/GJ;Price|Final Energy|Buildings|Gases|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential and Commercial|Heat;EUR_2020/GJ;Price|Final Energy|Buildings|Heat|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential and Commercial|Liquids;EUR_2020/GJ;Price|Final Energy|Buildings|Liquids|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential and Commercial|Solids;EUR_2020/GJ;Price|Final Energy|Buildings|Solids|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential|Electricity;EUR_2020/GJ;;;;;not modelled;;
Price|Final Energy|Residential|Gases;EUR_2020/GJ;;;;;not modelled;;
Price|Final Energy|Residential|Heat;EUR_2020/GJ;;;;;not modelled;;
Price|Final Energy|Residential|Liquids;EUR_2020/GJ;;;;;not modelled;;
Price|Final Energy|Residential|Solids;EUR_2020/GJ;;;;;not modelled;;
Total Energy System Cost|Residential|Investments;billion EUR_2020;;;;;not modelled;;
Total Energy System Cost|Residential|Investments|Energy Equipment;billion EUR_2020;;;;;not modelled;;
Total Energy System Cost|Residential|Investments|New Constructions;billion EUR_2020;;;;;not modelled;;
Total Energy System Cost|Residential|Investments|Renovation of old constructions;billion EUR_2020;;;;;not modelled;;
Useful Energy|Residential and Commercial|Space and Water Heating;EJ /yr;UE|Buildings|Heating;EJ /yr;1;;;;
Useful Energy|Residential|Space and Water Heating;EJ /yr;;;;;not modelled but post-processed;;
Useful Energy|Residential|Cooking;EJ/yr;;;;;;;
Useful Energy|Residential|Space Cooling;EJ/yr;;;;;;;
Useful Energy|Residential|Space Heating;EJ /yr;;;;;;;
Useful Energy|Residential|Water Heating;EJ/yr;;;;;;;
